ERA40,1960s,1980s,2000s,2010s,C20156,C20167,C20178,C201920
2275.7,2321.1,2282.2,2012.3,1862.8,1918.5,1294.7,1663.3,1730.2
2304.9,2352.6,2309.8,2038.9,1887,1945.3,1313.3,1684.2,1755.4
2334.1,2384.4,2337.1,2065.4,1911.2,1971.7,1332,1705.6,1781.7
2363.5,2416.4,2364.1,2090.5,1934.9,1988,1352.1,1727.4,
2392.7,2448.3,2391.3,2115.8,1958.5,2008.1,1372.5,1750.7,
2421.8,2480.5,2419,2141.6,1982.5,2028.5,1393.8,1774.9,
2451.3,2513.1,2447.7,2167.7,2007.1,2050.7,1414.8,1800,
2481.3,2545,2476.9,2193.6,2031.2,2074.4,1434.5,1825.8,
2511.1,2577,2506.2,2219.5,2054.1,2098.6,1455.4,1851.6,
2541.1,2609.2,2534.6,2245.9,2077.1,2124.3,1476.4,1878.4,
2570.7,2641.5,2563.4,2273.2,2100.8,2150.3,1498.9,1904.7,
2600.4,2674.2,2593.2,2300,2123.8,2174.1,1523.2,1929.5,
2630.3,2707,2623.7,2326.8,2147.2,2196.2,1548.3,1954.1,
2660,2739.4,2654,2353.1,2170.2,2218.4,1572.6,1979.8,
2689.9,2771.2,2684.1,2379.6,2194.3,2240.6,1597.1,2006.5,
2719.8,2802.3,2714.6,2405.7,2218.1,2262.8,1620.5,2032,
2749.9,2832.8,2745.7,2431.8,2241.7,2285.7,1643.1,2056.4,
2779.6,2863.3,2776.8,2458,2266,2307.6,1665.2,2082,
2809.4,2894.4,2807,2485,2289.8,2329.1,1686.7,2108.3,
2839.1,2926.1,2836.1,2512.6,2313.2,2350.2,1709.3,2133.6,
2868.7,2958.1,2864.7,2541.4,2336,2372.5,1729.8,2158,
2898.2,2989.2,2894.3,2570.1,2358.8,2394.2,1745.3,2181.2,
2927.6,3020.3,2923.8,2598,2381.7,2414.4,1760.6,2202.4,
2957.1,3051,2952.9,2626.1,2404.8,2433.6,1776,2221.7,
2986.3,3081.2,2982,2653.7,2428.3,2453.4,1792.9,2240.5,
3015.3,3111.6,3011,2680.8,2452.4,2473.5,1811.3,2258.1,
3044.5,3141.8,3040.8,2707.5,2476.8,2494.8,1830.4,2274.9,
