ERA40,1960s,1980s,2000s,2010s,C2015,C2016,C2017,C2018
4102,4288,4141,3821,3392,3478,3026,3255,3096
4122,4307,4161,3837,3407,3495,3040,3270,3107
4142,4328,4181,3853,3422,3512,3055,3286,3120
4163,4350,4200,3870,3437,3528,3068,3302,3134
4184,4372,4220,3888,3454,3545,3081,3319,3149
4205,4393,4240,3906,3470,3563,3093,3338,3165
4226,4416,4260,3925,3488,3580,3107,3356,3180
4248,4439,4280,3944,3505,3599,3119,3373,3196
4270,4462,4301,3964,3523,3616,3132,3391,3211
4292,4485,4322,3985,3541,3633,3145,3408,3225
4315,4509,4343,4007,3559,3650,3156,3425,3237
4338,4532,4364,4030,3578,3669,3166,3443,3250
4362,4555,4386,4051,3597,3690,3178,3461,3264
4385,4578,4409,4072,3617,3710,3191,3481,3279
4408,4601,4432,4093,3637,3730,3204,3502,3295
4431,4623,4456,4114,3657,3753,3214,3522,3311
4453,4645,4479,4135,3677,3776,3223,3540,3328
4476,4667,4503,4156,3696,3799,3236,3559,3344
4499,4688,4528,4177,3715,3822,3250,3579,3361
4522,4711,4552,4199,3734,3843,3263,3601,3378
4546,4736,4576,4221,3754,3861,3273,3624,3396
4570,4761,4600,4242,3773,3880,3282,3644,3416
4595,4786,4625,4265,3791,3896,3290,3661,3436
4619,4810,4650,4287,3810,3912,3296,3678,3457
4644,4835,4676,4310,3829,3929,3302,3694,3479
4668,4859,4701,4332,3847,3947,3308,3708,3501
4693,4885,4726,4354,3866,3966,3317,3724,3524
4718,4910,4752,4377,3887,3987,3327,3743,3545
4743,4935,4777,4399,3908,4008,3339,3763,3566
4767,4958,4803,4421,3929,4028,3351,3785,3588
4792,4982,4828,4443,3949,4045,3365,3806,3608
4818,5007,4854,4465,3968,4063,3378,3822,3629
4844,5031,4880,4486,3987,4081,3393,3837,3649
4869,5056,4906,4508,4007,4101,3409,3852,3670
4895,5081,4933,4530,4027,4123,3425,3870,3691
4921,5107,4959,4554,4047,4146,3442,3890,3713
4947,5132,4987,4577,4068,4171,3460,3909,3735
4973,5157,5014,4600,4089,4197,3477,3929,3757
5000,5185,5042,4623,4110,4224,3495,3949,3779
5027,5212,5070,4646,4130,4251,3512,3970,3802
5054,5240,5098,4668,4150,4276,3530,3988,3826
5081,5267,5125,4691,4171,4299,3548,4005,3848
5108,5295,5152,4714,4191,4319,3569,4023,3871
5135,5324,5180,4739,4213,4337,3591,4043,3893
5163,5352,5208,4763,4235,4359,3611,4064,3912
5191,5380,5236,4787,4258,4384,3631,4085,3933
5218,5408,5263,4811,4281,4411,3650,4106,3954
5245,5436,5290,4835,4304,4439,3668,4127,3973
5272,5464,5315,4860,4327,4466,3686,4147,3992
5299,5491,5340,4884,4348,4491,3704,4167,4012
5327,5519,5365,4908,4370,4515,3722,4185,4032
5355,5547,5391,4932,4391,4541,3742,4204,4053
5383,5576,5416,4957,4414,4567,3762,4225,4073
5411,5606,5442,4982,4437,4594,3782,4248,4094
5439,5634,5467,5007,4461,4622,3801,4271,4117
5467,5661,5494,5032,4485,4649,3822,4295,4141
5496,5687,5521,5057,4507,4678,3841,4318,4166
5524,5713,5549,5083,4529,4706,3860,4338,4190
5552,5739,5576,5109,4551,4733,3877,4356,4215
5580,5766,5603,5134,4573,4761,3892,4375,4238
5609,5794,5630,5160,4595,4789,3903,4397,4261
5637,5822,5657,5186,4618,4818,3915,4419,4286
5665,5849,5684,5212,4640,4846,3928,4440,4311
5694,5878,5712,5238,4663,4874,3943,4459,4336
5723,5908,5741,5263,4687,4903,3959,4477,4360
5752,5937,5769,5287,4711,4931,3977,4496,4385
5782,5967,5798,5313,4736,4958,3996,4517,4408
5811,5997,5826,5339,4760,4984,4015,4538,4430
5840,6029,5853,5366,4783,5001,4035,4559,4452
5869,6060,5881,5392,4806,5021,4055,4581,4475
